Category,Message
1,спасибо ваш подписка рингтон великобритания ваш мобильный телефон взиматься фунт стерлинг месяц пожалуйста подтвердить отвечать ответить взиматься
0,ага идти домой посмотреть время снова msg ü xuhui собираться учиться май урок утро
0,ой дать знать закончиться сосед комната
0,видеть буква b машина
0,угодный решать
0,привет пройти суббота просто отправить текстовый сообщение посмотреть решить нибыть сделать томый пытаться пригласить это род
0,пожалуйста продолжать уоттс просто хотеть уверенный удачный выходной абиол
0,забыть сказать хотеть нужный жажда большой весь любить сладкий арабский скачок мммммм вкусный
1,роджер бернс msg попытаться позвонить ответ наш sms бесплатный мобильный видео nokia бесплатный видеокамера пожалуйста позвонить доставка завтра
0,видеть
0,большой надеяться нравиться ваш мужчина lt gt дюйм
0,вызововmessages перевернуть звонок
0,получить иммунизация hep b нигерия
0,достаточно справедливо нибыть происходить
0,надеяться тайлера смочь это сделать мочь немного спросить
0,знать насколько упрямый хотеть ходить больница продолжать говорить марка слабый присоска больница предназначить слабый присоска
0,думать впервые увидеть класс
0,грамм обычно работать lt gt половина восьмой умный хотя давать целый второй грамм lt gt
0,ваш сведение x прокатиться рано утром завтра сегодня вечером падать сегодня вечером
0,ух осознавать смутить ваш расстояние думать понравиться делать всё возможный казаться счастливый пещера жаль большой дать жаль предложить жаль ваш комната смущать
1,sms ac sptv the new jersey devils detroit red wings играть хоккей шайба правильно неправильно конец ответить конец sptv
0,знать вчера сделать маллик шерават узнать lt url gt
1,поздравлять год специальный пропуск кино ваш позвонить c suprman v matrix starwars далее всё бесплатно bxipwe вечер пропустить
0,извинить позвонить поздний встреча
0,рассказать достигнуть
0,gauti sehwag out серия odi
0,прийтись взять гамбургер доллар мочь двигаться боль убивать
0,ха ха ха хороший шутка девочка искатель ситуация
0,это часть проверка iq
0,извинить сосед комната занять вечно это нормально приехать
0,около дважды проверять wif da hair dresser сказать wun cut v short сказать резать пока выглядеть
1,ценный клиент рад сообщить недавний обзор ваш мафия получить бонусный приз размер фунт стерлинг позвонить номер
0,сегодня песня посвятить день песня посвятить отправить это весь свой ценный frnd сначала
1,срочный ur присудить бесплатный поездка eurodisinc trav aco entry фунт стерлинг претендовать txt dis morefrmmob shracomorsglsuplt ls aj
1,слышать новый развод барби это идти весь вещь кен
0,самолёт дать это месяц
0,вау счастливчик мочь сэкономить деньга хи
0,закончить занятие
0,привет детка дом хотеть нибыть сделать xx
0,kk выступить
0,мочь позвонить
0,ждать махан позвонить освободиться
0,это круто джентльмен относиться достоинство уважение
0,очень нравиться народ очень застенчивый па
0,работать lt gt
0,самый всё ещё искать работа сколько зарабатывать
0,извинить позвонить поздний
0,звонить
0,дорога домой привет привет
0,место это человек
0,следующий остановка
0,звонить поздний сеть urgnt смс
0,дело попадать йо нужно весь ещё билет ещё куртка закончить использовать всё свой мультис
0,начать отправлять запрос сделать это боль вернуться поэтому вернуться постель двойной монета фабрика должный заработать весь нитрос
0,действительно захотеть всё ещё сегодня вечером детка
0,ela kano il download приходить бесплатно
0,стоить закрыть чтоть поймать
0,извинить боль это нормально встретиться ещё ночь провести поздний день пострадать это означать сделать y stufcemoro это включать всё временной лист это извинить
0,улыбаться удовольствие улыбаться боль улыбаться неприятность накладываться дождь сумма болеть улыбка всё ещё любить видеть улыбаться
1,пожалуйста позвонить наш представитель обслуживание клиент номер вечер выиграть гарантировать фунт стерлинг фунт стерлинг
0,планировать купить поздний проверять лидо получить шоу второй половина день закончить работа
1,ваш бесплатный рингтон ждать собрать просто написать пароль микс проверить получить ашер бритни fml po box mk h ppw
0,смотреть фильм телугу
0,понимать закончить
0,привет всё порядок холс некоторый время забыть встреча парикмахер четыре нужно заранее добраться душа это вызывать вероятность
0,видеть чашка кофе анимация
0,пожалуйста писать большой большой нечего сказать
0,имя ур цена пока это законно вэнь мочь забрать y u ave x ams xx
0,всё ещё искать машина покупка ещё пройти тест вождение
0,согласно ваш запрос мелля мелля ор миннаминунгинт нурунг веттам установить качество callertune весь вызывающий абонент нажать скопировать свой друг callertune
0,ух право хотеть это делать думать однажды отказаться бостонский мужчина изменить место поиск нью йорк измениться страница signin это всё ещё говорить бостон
0,умма жизнь вава умма очень любить дорогой
0,большой спасибо ваш пожелание день рождение спасибо сделать день рождение настоящий запоминаться
0,aight набрать получить немного деньга
0,ip адрес тестировать учитывать компьютер являться сервер minecraft
0,знать сварливый пожилой человек мама похожий хороший лгать сторона играть шутка
0,волноваться думать занятый
0,множественный число существительное исследование
0,собираться ужин
0,порядок нравиться пробовать новый вещь бояться мах сказать слишком громко
1,господь пытаться связаться прошлый выходной вызов показывать выиграть приз размер фунт стерлинг звонить код претензия k действительно час млрд
0,ва ур открытый предложение очень формально всякий случай порядок juz tt слишком путать вес ха ха любой специально случиться
0,войти свой каюта pa сказать счастливый босс день чувствовать особенный спросить обед обед пригласить свой квартира послать туда
1,победитель специально выбрать получить фунт стерлинг праздник flights inc поговорить претензия прямой эфир претензия pмина
0,добро должный говорить пятница соотношение яйцо тортилья необходимо
0,хм дядя сообщить платить школа напрямую пожалуйста купить еда
1,частный ваш заявление учётный запись год показывать некушенный бонусный балл требовать звонок код идентификатор истекать
1,срочный ваш мобильный номер наградить бонусный абонент фунт стерлинг это наш последний попытка связаться звонок стационарный линия boxwrc ppm
0,новый адрес пара пара всё это malarky
1,сегодняшний номер voda заканчиваться выбрать получение награда размер доллар сша матч пожалуйста позвонить телефон код претензия код стандартный ставка приложение
0,собираться сегодня сан му сделать
0,ü предсказать время ü закончить покупка
0,хороший вещь подойти
0,просто знать йетонда ещё отправить деньга отправить текст беспокоиться отправка всё конченый нужно вовлекать либо должный навязывать поэтому это извиняться
0,комната
0,эй девочка надеяться бейк давно c позвонить сумма звонок lucyxx
0,kk сколько это стоить
0,дом
0,уважаемый назвать tmorrowpls accomodate
0,сначала ответить вопрос
1,sunshine quiz wkly q выиграть хороший dvd игрок sony знать страна алгаров txt ansr sp tyrone
1,хотеть проложить сегодня вечером хотеть реальный место подрыв отправить direct ur mob присоединяться крупный великобритания сеть сглаживание bt txting gravel нд eca pmsgp
0,haf msn это yijuehotmailcom
0,звонить встречать
0,проверить всё комната мероприятие
1,большой rcv большой msg чат svc бесплатный хардкорный сервис текст перейти адрес получить должный проверить помощь yr network попробовать ещё
0,получить c лениво напечатать забыть ü лекция видеть сумка
0,k написать путь
0,сэр ждать ваш почта
0,swt подумать устать делать мелочь мила
0,знать мочь открыть спина
0,увидеться точка
0,имя персонал брать класс
1,freemsg почему ответить текст рэнди сексуальный женщина жить местный люв услышать netcollex ltd p msg ответ остановка конец
0,ummmawill регистрация наш жизнь начаться катар пожалуйста молиться очень усердно
0,удалить свой контакт
0,синд получить работа birla soft
0,вино течь знать
0,хороший нужно спуститься plaza mah
0,твой типичный ответ
0,согласно ваш запрос мелля мелля ор миннаминунгинт нурунг веттам установить качество callertune весь вызывающий абонент нажать скопировать свой друг callertune
0,везде грязь пол окно рубашка открывать рот всё вытекать мечтать свой мир половина дело время радость телешоу ill думать всё должный существовать например дождь град туман время закончиться становиться
0,aaooooright работа
0,покидать свой дом
0,привет любовь делать добраться это интервью сегодня счастливый хороший мальчик думать скучать
1,аннонирование обслуживание клиент новогодний доставка который ждать пожалуйста позвонить телефон организовать доставка
1,победитель специально выбрать получить фунт стерлинг наличные праздничный flights inc поговорить претензия прямой эфир
0,держать безопасность нужный скучать завидовать весь видеть реальный жизнь
0,новый машина дом родитель новый работа рука
0,влюбить взволновать каждый день который проводить делать счастливый
1,pls stop bootydelious f приглашать стать друг ответить смотреть wwwsmsacubootydelious stop отправить остановка
1,бангбабс твой заказ путь должный получить сервис msg скачать ur content goto wap бангб телевидение ваш мобильный интернетеменю обслуживание
0,ставить всё ваш точка модуль e культура
1,срочный пытаться связаться прошлый выходной вытягивать выиграть приз фунт стерлинг звонить код претензия s действительно час
0,привет фнд хороший способ избежать мисс консультация любимый
0,отличный побег казаться мост нужный лагер увидеться томый
0,это совершенно форма кларк также произносить отход
0,сэр нужный банковский счёт axis no банковский адрес
0,хммм образ время прыгнуть ард мочь пойти бесплатно абт муза позвонить обсудить ляо
0,время спуститься поздний
0,кровавый ад мочь поверить забыть фамилия мистер дать подсказка испанский начинаться
0,закончить ванна хороший прекрасный ночь
0,дать знать деньга карлос мочь позвонить
0,всё ещё собираться торговый центр
0,оказываться друг оставаться всё шоу вернуться lt gt стесняться идти вперёд курить это lt gt ценность
0,написать ответить дать знать мочь войти система
0,привет поговорить maneesha v хотеть знать удовлетворить это опыт ответить бесплатно
0,поднять надежда предложение деньга нужно особенно приближаться конец месяц это наносить ущерб обучение любой случай выходной gr
0,лола мочь доверять
0,джентльмен относиться достоинство уважение
0,ребята закрыть
0,делать хороший
0,привет красивый находить работа ленивый работать вернуть сеть мама мальчик скучать
0,ха ха круто минута
1,пожалуйста позвонить наш представитель обслуживание клиент freephone вечер выиграть гарантировать фунт стерлинг фунт стерлинг
0,рождественский радио время получить это
0,добраться дом сначала идти купаться сестра использовать сеть сказать заканчивать
1,достаточно уникальный узнать август wwwareyouuniquecouk
0,жаль присоединиться лига человек который поддерживать связь иметь вид всё время друг отличный личный затрата удачный неделя
0,привет закончить курс
0,остановиться однако предлагать остаться смочь дать ors каждый табурет
0,дело надеяться поселиться новый учебный год просто желать день gr
0,gud mrng дорога хороший день
0,история человек
0,ваш хомяк мёртвый эй встречаться orchard mrt
0,привет это кейт твой вечер надеяться завтра увидеть завтра нужно кроваво детка txt обратно мочь xxx
0,найти это ent gt
0,отправить lt gt бакс
0,привет дорогой закончить колледж закончить мочь любить кейт ххх
0,ваш учётный запись успешно заполнить inr lt decimal gt поле ваш баланс учётный запись keralacircle составлять rs lt decimal gt поле ваш идентификатор транзакция kr lt gt поле
0,goodmorning sleephy ga
0,называть альтер около
0,ü сказать пока купить эрикссон осо
0,войти свой каюта pa сказать счастливый босс день чувствовать особенный спросить обед обед пригласить свой квартира послать туда
0,aight yo dats strught dogg
0,пожалуйста дать соединение сегодня decimal gt вернуть законопроект
0,оба снимать больший груз готовый
0,случиться бруть надеяться отличный перерыв иметь полезный семестр
0,домой мочь поболтать
0,k k изучать
0,n noe leh
0,звучать отлично дом
0,матч направляться рисунок качество прогноз
0,усталый плохо спасть последний несколько ночь
0,легко сен выбрать значит это
0,должный сдать экзамен март
0,должный думать мочь использовать свой банкомат gt зарегистрироваться уверенный любой случай мочь помочь знать убедиться готовый
0,около вероятно взять свой время
0,существовать ос название ubandu который работать установка жёсткий диск мочь использовать ос копирование важный файл система дать ремонтный мастерская
0,извинить позвонить поздний
0,говорить случиться сказать романтический jus немного лор хороший
1,новый мобильный телефон год должный идти txt nokia to no собрать свой сегодня wwwtcbiz optout gbpmtmsg
0,очень признательный позвонить просто нужный поговорить
1,скоро встретиться партнёр свой мечта ваш карьера предел запуск узнать бесплатно txt horo последующий знак your star e глина хоро овен
0,эй компания elama po mudyadhu
0,жизнь строгий учитель учитель bcoz преподавать урок amp затем проводить экзамен жизнь сначала проводить экзамен amp затем преподавать урок счастливый утро поле поле
0,дорогой добрый утро встать
0,спуститься гандифура идти пересечь дорога правый сторона lt gt уличный дорога повернуть сначала справа
0,дорога идти наш резиновый место
0,извинить батарея умереть
0,телевизор доступный рабочий место
1,текст встретиться сексуальный сегодня мочь найти дата флиртовать ответ имя возраст например sam msg recdthirtyeeight pence
0,напечатать это lt gt подняться наверх
0,немного близкий автобусный остановка улица
0,достигнуть
0,новый теория аргумент выигрывать ситуация d терять человек спороть твой друг просто поле поле пнуть amp сказать право
1,u иметь секретный поклонник который искать вступать контакт ufind который мнение раскрывать считать специальный вызов
0,последний слух tomarrow дело ноутбук мочь
0,pleasssssssseeeee tel me v avent done sportsx
0,просто сиять это должный подписать это звучать хороший
0,хотя сказать часами лицо бэйга очень нравиться дать это спасибо всё дава сделать сегодня тронутый
0,помнить старый реклама
0,слишком поздно сказать сайт тапочки
0,попросить позвонить
0,каллиса бить й подача
0,это большой сработать спокойный ночь очень хватать поспать
1,поздравлять присудить ваучер cd gift гарантированно бесплатно вход wkly draw txt music tncs wwwldewcomwinppmxage
0,ранджито кэл дрпд деарадж дипак мина
0,любить черта взять разгневаться относиться серьёзно злиться это самый детский правдивый способ проявить глубокий привязанность заботиться luv kettoda manda хороший день
0,дело дело
0,ups который также составлять день судоходный компания который занимать неделя способ являться usps который занимать неделя задерживаться возможно прийтись подкупить напост получить свой вещь
0,вернуться знать готовый
0,обязательно ожидать это сделать прежде вернуться
0,ммм вкусный детка хороший толчок сьюзи
0,любовник нужный
1,попытаться связаться ответ наш предложение телефон видео любой время сеть мина неограниченный текст видеокамера ответить позвонить
0,припарковать рядом минь думать входить сегодня
0,ага
0,любой случай собираться покупать самостоятельно сестрёнка ещё закончить dun reage u liao
0,лутоня звонить вокруг час
1,эй очень возбудить хотеть поболтать увидеть голый
0,почему давать
0,wana plan trip someme
0,ещё уверенный всё ещё пытаться схватить
1,ур сервис рингтон измениться бесплатный кредит зайти clubmobilescom выбрать контент останавливаться txt club stop pwk club po box mk wt
0,эво просто нужно скачать flash ревнивый
1,ringtone club получать британский таблица сингл мобильный телефон каждый неделя выбирать любой рингтон высокий качество это сообщение бесплатно
0,приходить mu разбирать наш ситуация наркотик
0,ночь закончиться ещё день утро прийти особый образ желать улыбнуться солнечный луч оставить свой забота голубой залив
1,бонус hmv специальный фунт подлинный ваучер hmv который выиграть просто ответить простой вопрос играть отправить hmv подробный wwwpercentrealcom
0,usf думать успех мочь взять машина
0,возражение парень прийти
0,спасибо
0,сказать роба подметать театр
0,классно увидеться немного
0,отправить тип еда нравиться
0,всё сделать всё сдать празднование полный разгар
0,называть инструмент
0,скучать комуть человек определённо особенный человек особенный скучать просто продолжаться гдева
0,спросить деньга далеко
0,ока
0,думать обычный парень всё ещё потерять сознание прошлый ночь понять нибыть дать знать бросить вниз
0,мочь прийти сегодня вечером класс отпустить рано
0,
0,привет детка кружить подруга зайшь позвонить час дом всё порядок настать это фон любить дженни ххх
0,жизнь значит любить свой жизнь любить человек жизнь мир называть друг называть свой мир ge
0,уважаемый почта тонит
0,эй сказать свой имя гаутаму ах
0,хаф найти чувствовать глупо работать кэм
0,упс получить это
0,бузить
0,случайно удалить сообщение повесить пожалуйста
1,клиент tmobile мочь требовать бесплатный обновление телефон камера simкарта pay go ваш лояльность позвонить телефон fer encks thfebt cs apply
0,это ситуация идти gurl уместный
0,поврежный дразнить заставлять плакать конец жизнь умереть пожалуйста держать роза могила говорить глупо скучать хороший день bslvyl
0,мочь выбрать телефон прямо пожалуйста отправить сообщение
0,нужный кофе бежать томый мочь поверить это время неделя
0,потрясающе помнить последний впервые получить высоко дизель v
0,дерьмо который действительно шокировать страшно мочь представить секунда def ночь думать мочь разбиться ночь сэкономить такси
0,ох кстати холодильник большой еда хотеть выйти еда сегодня вечером
0,актёр womdarfull
1,sms ac hate date u rodds м абердин великобритания проверить img sms acwicmbcktzr
0,остановиться думать забронировать
0,джос спросить встретить
0,лола наш дружба висеть ветка покупать вещь
1,themob проверить наш новый выбор контент игра тон сплетня малыш спорт сохранить свой мобильный причудливый текстовый wap
0,клавиша гараж книжный полка
0,сегодня принять день принимать брат сестра lover dear best slock lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rpl
1,думать умный выиграть фунт стерлинг неделя наш еженедельный викторин text play t cs winnersclub po box m uz gbpнеделя
0,говорить позвонить друг деньга определённо покупать конец неделя
0,привет день это нормальный путь это настоящий уникальный надеяться знать остальной часть mylife надеяться обнаружить wot потерянный
0,сделать день удачный день
0,kk advance happy pongal
0,хммм думать мочь пойти кб силовой йог ха ха знать мочь тахан силовой йог это забыть liao
0,очень чувак друг бояться
1,декабрь ваш мобильный метр иметь право обновление последний цветной камера мобильный телефон бесплатно позвонить мобильный обновление co бесплатно
0,кофейный торт думать
0,счастливый рождество детка любить поцелуй
0,эй почему просто пойти смотреть х пообедать ха ха
0,cud u u coll ppl im gona b немного автобус cos полный всё ещё ждать пит x
0,это здорово гильдия мочь встретиться бристоль роуд связаться выходной наш план уезжать хороший неделя
0,проблема дело
0,вызововmessages перевернуть звонок
0,привет сегодняшний класс
0,сказать это хороший знак знать послужной список чтение женщина
0,круто написать припарковать
0,читать текст который отправить это должный шутка прочитать это это свет
0,кк апо кгуд фильм
0,мочь смочь получить книга томый затем немедленно вернуть
1,позвонить германия весь пенс минута вызов фиксировать строка номер доступ предоплата прямой доступ
0,любой вероятность возможно иметь испариться нарушить конфиденциальность украсть номер телефон документ ваш работодатель круто пожалуйста связаться снова иначе сообщить ваш руководитель
1,день святой валентина специальный выиграть фунт стерлинг наш викторин взять свой партнёр поездка весь жизнь отправить pmsg rcvd custcare
0,тадааааа дом детка всё ещё встать
0,прохладный почему завоевать обедать ранний
0,просто спать сёрфинг
0,извинить позвонить поздний
0,звать правильно позвонить рука телефон
0,это здорово спасибо
0,принимать это пост прийти должный текст счастливый чтение wiv hello caroline конец любимый благословить
0,прятать незнакомец
0,интересно делать это
0,сестра вчера почистить раунд бирло
0,gudnite tc практика продолжаться
0,dis is yijue видеть твой почта случай хуиминг прислать число dis это число
0,небольшой престижный проблема
1,хотеть похмелёк делать заинтересованный sextextukcom txt xxuk suzy txts стоить msg тнк веб сайт х
0,просто проверять действительно скучать иеремий удачный месяц
0,мочь помочь iphone
0,машина полтора час собираться
0,сегодня извинить либо злить нибыть плохо вводить причинить боль пожалуйста пожалуйста просто пощечиться bcoz это ваш вино основное
0,ребята нибыть выяснять сколько нужно алкоголь джей пытаться выяснить сколько мочь безопасно потратить травка
0,lt gt иш минута минута назад wtf
0,спасибо позвонить forgot сказать нравиться sirji порядок помнить встретить страховой человек получить катар инша аллахrakhesh бывший тат айг который присоединиться tissco tayseer
1,поздравлять присудить ваучер cd gift гарантированно бесплатно вход wkly draw txt music tncs wwwldewcomwinppmxage
1,ваш денежный баланс настоящий время составлять фунтовчтоба максимизировать ur cashin отправить деньга pmsg cc hgsuitelands rowwjhl
0,актёр работать работать вечером спать поздно поскольку безработный данный момент спать поздно безработный каждый день суббота
0,привет прийти сюда сентэндрюсмальчик это долгий путь холодно держать курс
0,хах крутой крутой чикк чиккуdb
0,вероятно
0,проверить статус одри прямо
0,занятый попытка закончить новый год нетерпение ждать возможность встретиться
0,добрый день солнечный свет рассвет день освежить счастливый живой дышать воздух улыбаться думать любовь
0,знать z позаботиться беспокоиться
1,update_now рождественский предложение последний motorola sonyericsson nokia free bluetooth двойной минута txt orange вызвать mobileupd телефон calloptoutfq
1,ваш код скидка rp остановить дальнейший сообщение ответ остановка wwwregalportfoliocouk служба клиент
0,вата униформа получить
0,круто написать
0,привет мальчик скучать проснуться хотеть постель обнимать любить
0,испортить постель
0,собираться ванна собираться следующий образ lt gt мина
0,мочь продолжать разговаривать человек уверенный смочь заплатить согласный цена пожалуйста сказать хотеть действительно купить сколько готовый заплатить
1,спасибо заказ рингтон ссылка t платить gbp неделя мочь отказаться подписка любой время позвонить служба поддержка телефон
0,мочь сказать случиться
0,мочь увидеть узнать лицо
0,линдсить новый год происходить вещь несколько бар ptbo синий цап
0,держать свой payasam rinu принести
0,учить ранджито сэр позвонить смс проверять проект праб рассказать сегодня па ошибаться
0,думать именно поэтому беспокоиться должный знать способ восстановить тело совершенно уверенный должный беспокоиться взять это медленно сначала тест направляться ваш овуляция просто расслабляться ничто сказать являться причина беспокоиться следить
0,дать пара минута выследить кошелёк
0,эй оставить это важно беречь
0,эй опоздать ах познакомиться
1,двойной минута txts месяц бесплатно bluetooth апельсин доступно телефон sony nokia motorola call mobileupd телефон calloptoutndx
0,потребоваться мистер owl лик
0,место клиент позвонить
